Суурь он,Бүлэг,Сар,value
2015=100,Ерөнхий индекс,2026-07,
2015=100,Ерөнхий индекс,2026-06,
2015=100,Ерөнхий индекс,2026-05,
2015=100,Ерөнхий индекс,2026-04,
2015=100,Ерөнхий индекс,2026-03,
2015=100,Ерөнхий индекс,2026-02,
2015=100,Ерөнхий индекс,2026-01,
2015=100,Ерөнхий индекс,2025-12,
2015=100,Ерөнхий индекс,2025-11,
2015=100,Ерөнхий индекс,2025-10,
2015=100,Ерөнхий индекс,2025-09,
2015=100,Ерөнхий индекс,2025-08,
2015=100,Ерөнхий индекс,2025-07,
2015=100,Ерөнхий индекс,2025-06,
2015=100,Ерөнхий индекс,2025-05,
2015=100,Ерөнхий индекс,2025-04,
2015=100,Ерөнхий индекс,2025-03,
2015=100,Ерөнхий индекс,2025-02,
2015=100,Ерөнхий индекс,2025-01,
2015=100,Ерөнхий индекс,2024-12,
2015=100,Ерөнхий индекс,2024-11,
2015=100,Ерөнхий индекс,2024-10,
2015=100,Ерөнхий индекс,2024-09,
2015=100,Ерөнхий индекс,2024-08,
2015=100,Ерөнхий индекс,2024-07,
2015=100,Ерөнхий индекс,2024-06,
2015=100,Ерөнхий индекс,2024-05,
2015=100,Ерөнхий индекс,2024-04,
2015=100,Ерөнхий индекс,2024-03,
2015=100,Ерөнхий индекс,2024-02,
2015=100,Ерөнхий индекс,2024-01,
2015=100,Ерөнхий индекс,2023-12,
2015=100,Ерөнхий индекс,2023-11,
2015=100,Ерөнхий индекс,2023-10,
2015=100,Ерөнхий индекс,2023-09,
2015=100,Ерөнхий индекс,2023-08,
2015=100,Ерөнхий индекс,2023-07,
2015=100,Ерөнхий индекс,2023-06,
2015=100,Ерөнхий индекс,2023-05,
2015=100,Ерөнхий индекс,2023-04,
2015=100,Ерөнхий индекс,2023-03,
2015=100,Ерөнхий индекс,2023-02,
2015=100,Ерөнхий индекс,2023-01,
2015=100,Ерөнхий индекс,2022-12,
2015=100,Ерөнхий индекс,2022-11,
2015=100,Ерөнхий индекс,2022-10,
2015=100,Ерөнхий индекс,2022-09,
2015=100,Ерөнхий индекс,2022-08,
2015=100,Ерөнхий индекс,2022-07,156.5
2015=100,Ерөнхий индекс,2022-06,155.1
2015=100,Ерөнхий индекс,2022-05,152.8
2015=100,Ерөнхий индекс,2022-04,150.7
2015=100,Ерөнхий индекс,2022-03,147.2
2015=100,Ерөнхий индекс,2022-02,146.0
2015=100,Ерөнхий индекс,2022-01,144.5
2015=100,Ерөнхий индекс,2021-12,141.6
2015=100,Ерөнхий индекс,2021-11,138.7
2015=100,Ерөнхий индекс,2021-10,136.9
2015=100,Ерөнхий индекс,2021-09,136.2
2015=100,Ерөнхий индекс,2021-08,135.9
2015=100,Ерөнхий индекс,2021-07,135.3
2015=100,Ерөнхий индекс,2021-06,133.6
2015=100,Ерөнхий индекс,2021-05,132.7
2015=100,Ерөнхий индекс,2021-04,131.7
2015=100,Ерөнхий индекс,2021-03,128.6
2015=100,Ерөнхий индекс,2021-02,127.8
2015=100,Ерөнхий индекс,2021-01,126.1
2015=100,Ерөнхий индекс,2020-12,124.8
2015=100,Ерөнхий индекс,2020-11,125.5
2015=100,Ерөнхий индекс,2020-10,124.8
2015=100,Ерөнхий индекс,2020-09,124.3
2015=100,Ерөнхий индекс,2020-08,124.8
2015=100,Ерөнхий индекс,2020-07,126.0
2015=100,Ерөнхий индекс,2020-06,125.4
2015=100,Ерөнхий индекс,2020-05,124.9
2015=100,Ерөнхий индекс,2020-04,124.8
2015=100,Ерөнхий индекс,2020-03,125.5
2015=100,Ерөнхий индекс,2020-02,124.6
2015=100,Ерөнхий индекс,2020-01,123.2
2015=100,Ерөнхий индекс,2019-12,122.0
2015=100,Ерөнхий индекс,2019-11,121.3
2015=100,Ерөнхий индекс,2019-10,121.8
2015=100,Ерөнхий индекс,2019-09,122.2
2015=100,Ерөнхий индекс,2019-08,122.2
2015=100,Ерөнхий индекс,2019-07,121.5
2015=100,Ерөнхий индекс,2019-06,121.7
2015=100,Ерөнхий индекс,2019-05,120.9
2015=100,Ерөнхий индекс,2019-04,119.2
2015=100,Ерөнхий индекс,2019-03,118.0
2015=100,Ерөнхий индекс,2019-02,117.2
2015=100,Ерөнхий индекс,2019-01,116.6
2015=100,Ерөнхий индекс,2018-12,116.0
2015=100,Ерөнхий индекс,2018-11,115.3
2015=100,Ерөнхий индекс,2018-10,113.2
2015=100,Ерөнхий индекс,2018-09,112.2
2015=100,Ерөнхий индекс,2018-08,112.2
2015=100,Ерөнхий индекс,2018-07,113.2
2015=100,Ерөнхий индекс,2018-06,112.6
2015=100,Ерөнхий индекс,2018-05,112.0
2015=100,Ерөнхий индекс,2018-04,111.4
2015=100,Ерөнхий индекс,2018-03,110.7
2015=100,Ерөнхий индекс,2018-02,109.6
2015=100,Ерөнхий индекс,2018-01,108.7
2015=100,Ерөнхий индекс,2017-12,107.2
2015=100,Ерөнхий индекс,2017-11,106.7
2015=100,Ерөнхий индекс,2017-10,106.5
2015=100,Ерөнхий индекс,2017-09,106.1
2015=100,Ерөнхий индекс,2017-08,105.9
2015=100,Ерөнхий индекс,2017-07,105.0
2015=100,Ерөнхий индекс,2017-06,105.0
2015=100,Ерөнхий индекс,2017-05,105.5
2015=100,Ерөнхий индекс,2017-04,105.0
2015=100,Ерөнхий индекс,2017-03,103.8
2015=100,Ерөнхий индекс,2017-02,102.5
2015=100,Ерөнхий индекс,2017-01,101.7
2015=100,Ерөнхий индекс,2016-12,100.8
2015=100,Ерөнхий индекс,2016-11,100.2
2015=100,Ерөнхий индекс,2016-10,99.7
2015=100,Ерөнхий индекс,2016-09,100.3
2015=100,Ерөнхий индекс,2016-08,100.9
2015=100,Ерөнхий индекс,2016-07,101.6
2015=100,Ерөнхий индекс,2016-06,101.5
2015=100,Ерөнхий индекс,2016-05,101.8
2015=100,Ерөнхий индекс,2016-04,101.7
2015=100,Ерөнхий индекс,2016-03,100.6
2015=100,Ерөнхий индекс,2016-02,100.1
2015=100,Ерөнхий индекс,2016-01,99.7
2015=100,Ерөнхий индекс,2015-12,99.5
2015=100,Ерөнхий индекс,2015-11,99.7
2015=100,Ерөнхий индекс,2015-10,99.9
2015=100,Ерөнхий индекс,2015-09,100.4
2015=100,Ерөнхий индекс,2015-08,101.0
2015=100,Ерөнхий индекс,2015-07,100.1
2015=100,Ерөнхий индекс,2015-06,100.4
2015=100,Ерөнхий индекс,2015-05,100.5
2015=100,Ерөнхий индекс,2015-04,100.4
2015=100,Ерөнхий индекс,2015-03,99.8
2015=100,Ерөнхий индекс,2015-02,99.3
2015=100,Ерөнхий индекс,2015-01,99.1
2015=100,Ерөнхий индекс,2014-12,98.5
2015=100,Ерөнхий индекс,2014-11,97.7
2015=100,Ерөнхий индекс,2014-10,97.0
2015=100,Ерөнхий индекс,2014-09,96.2
2015=100,Ерөнхий индекс,2014-08,95.5
2015=100,Ерөнхий индекс,2014-07,95.1
2015=100,Ерөнхий индекс,2014-06,94.7
2015=100,Ерөнхий индекс,2014-05,94.2
2015=100,Ерөнхий индекс,2014-04,92.8
2015=100,Ерөнхий индекс,2014-03,91.9
2015=100,Ерөнхий индекс,2014-02,91.1
2015=100,Ерөнхий индекс,2014-01,90.3
2015=100,Ерөнхий индекс,2013-12,89.2
2015=100,Ерөнхий индекс,2013-11,88.0
2015=100,Ерөнхий индекс,2013-10,86.9
2015=100,Ерөнхий индекс,2013-09,85.7
2015=100,Ерөнхий индекс,2013-08,84.5
2015=100,Ерөнхий индекс,2013-07,83.1
2015=100,Ерөнхий индекс,2013-06,83.0
2015=100,Ерөнхий индекс,2013-05,83.3
2015=100,Ерөнхий индекс,2013-04,83.1
2015=100,Ерөнхий индекс,2013-03,82.1
2015=100,Ерөнхий индекс,2013-02,81.5
2015=100,Ерөнхий индекс,2013-01,80.7
2015=100,Ерөнхий индекс,2012-12,79.3
2015=100,Ерөнхий индекс,2012-11,78.6
2015=100,Ерөнхий индекс,2012-10,78.5
2015=100,Ерөнхий индекс,2012-09,78.0
2015=100,Ерөнхий индекс,2012-08,77.2
2015=100,Ерөнхий индекс,2012-07,76.7
2015=100,Ерөнхий индекс,2012-06,76.3
2015=100,Ерөнхий индекс,2012-05,75.9
2015=100,Ерөнхий индекс,2012-04,75.2
2015=100,Ерөнхий индекс,2012-03,74.8
2015=100,Ерөнхий индекс,2012-02,73.2
2015=100,Ерөнхий индекс,2012-01,71.4
2015=100,Ерөнхий индекс,2011-12,69.5
2015=100,Ерөнхий индекс,2011-11,68.7
2015=100,Ерөнхий индекс,2011-10,68.2
2015=100,Ерөнхий индекс,2011-09,67.9
2015=100,Ерөнхий индекс,2011-08,67.2
2015=100,Ерөнхий индекс,2011-07,67.0
2015=100,Ерөнхий индекс,2011-06,66.5
2015=100,Ерөнхий индекс,2011-05,65.8
2015=100,Ерөнхий индекс,2011-04,64.8
2015=100,Ерөнхий индекс,2011-03,64.9
2015=100,Ерөнхий индекс,2011-02,65.1
2015=100,Ерөнхий индекс,2011-01,64.8
2015=100,Ерөнхий индекс,2010-12,63.8
2015=100,Ерөнхий индекс,2010-11,62.3
2015=100,Ерөнхий индекс,2010-10,61.4
2015=100,Ерөнхий индекс,2010-09,61.2
2015=100,Ерөнхий индекс,2010-08,61.6
2015=100,Ерөнхий индекс,2010-07,61.2
2015=100,Ерөнхий индекс,2010-06,62.9
2015=100,Ерөнхий индекс,2010-05,63.9
2015=100,Ерөнхий индекс,2010-04,62.0
2015=100,Ерөнхий индекс,2010-03,60.7
2015=100,Ерөнхий индекс,2010-02,59.5
2015=100,Ерөнхий индекс,2010-01,57.8
2015=100,Ерөнхий индекс,2009-12,56.5
2015=100,Ерөнхий индекс,2009-11,56.1
2015=100,Ерөнхий индекс,2009-10,55.2
2015=100,Ерөнхий индекс,2009-09,55.3
2015=100,Ерөнхий индекс,2009-08,55.4
2015=100,Ерөнхий индекс,2009-07,55.7
2015=100,Ерөнхий индекс,2009-06,56.5
2015=100,Ерөнхий индекс,2009-05,57.3
2015=100,Ерөнхий индекс,2009-04,57.2
2015=100,Ерөнхий индекс,2009-03,56.0
2015=100,Ерөнхий индекс,2009-02,55.0
2015=100,Ерөнхий индекс,2009-01,54.7
2015=100,Ерөнхий индекс,2008-12,54.2
2015=100,Ерөнхий индекс,2008-11,54.2
2015=100,Ерөнхий индекс,2008-10,54.7
2015=100,Ерөнхий индекс,2008-09,55.3
2015=100,Ерөнхий индекс,2008-08,55.1
2015=100,Ерөнхий индекс,2008-07,53.1
2015=100,Ерөнхий индекс,2008-06,53.1
2015=100,Ерөнхий индекс,2008-05,53.0
2015=100,Ерөнхий индекс,2008-04,50.8
2015=100,Ерөнхий индекс,2008-03,48.1
2015=100,Ерөнхий индекс,2008-02,46.5
2015=100,Ерөнхий индекс,2008-01,45.3
2015=100,Ерөнхий индекс,2007-12,44.4
2015=100,Ерөнхий индекс,2007-11,43.6
2015=100,Ерөнхий индекс,2007-10,42.8
2015=100,Ерөнхий индекс,2007-09,41.9
2015=100,Ерөнхий индекс,2007-08,41.0
2015=100,Ерөнхий индекс,2007-07,39.9
2015=100,Ерөнхий индекс,2007-06,39.7
2015=100,Ерөнхий индекс,2007-05,39.6
2015=100,Ерөнхий индекс,2007-04,39.3
2015=100,Ерөнхий индекс,2007-03,38.8
2015=100,Ерөнхий индекс,2007-02,38.4
2015=100,Ерөнхий индекс,2007-01,37.8
2015=100,Ерөнхий индекс,2006-12,37.7
2015=100,Ерөнхий индекс,2006-11,37.4
2015=100,Ерөнхий индекс,2006-10,37.3
2015=100,Ерөнхий индекс,2006-09,37.2
2015=100,Ерөнхий индекс,2006-08,37.0
2015=100,Ерөнхий индекс,2006-07,37.5
2015=100,Ерөнхий индекс,2006-06,37.5
2015=100,Ерөнхий индекс,2006-05,37.5
2015=100,Ерөнхий индекс,2006-04,37.1
2015=100,Ерөнхий индекс,2006-03,36.2
2015=100,Ерөнхий индекс,2006-02,36.1
2015=100,Ерөнхий индекс,2006-01,35.9
2015=100,"Хүнсний бараа, ундаа, ус",2026-07,
2015=100,"Хүнсний бараа, ундаа, ус",2026-06,
2015=100,"Хүнсний бараа, ундаа, ус",2026-05,
2015=100,"Хүнсний бараа, ундаа, ус",2026-04,
2015=100,"Хүнсний бараа, ундаа, ус",2026-03,
2015=100,"Хүнсний бараа, ундаа, ус",2026-02,
2015=100,"Хүнсний бараа, ундаа, ус",2026-01,
2015=100,"Хүнсний бараа, ундаа, ус",2025-12,
2015=100,"Хүнсний бараа, ундаа, ус",2025-11,
2015=100,"Хүнсний бараа, ундаа, ус",2025-10,
2015=100,"Хүнсний бараа, ундаа, ус",2025-09,
2015=100,"Хүнсний бараа, ундаа, ус",2025-08,
2015=100,"Хүнсний бараа, ундаа, ус",2025-07,
2015=100,"Хүнсний бараа, ундаа, ус",2025-06,
2015=100,"Хүнсний бараа, ундаа, ус",2025-05,
2015=100,"Хүнсний бараа, ундаа, ус",2025-04,
2015=100,"Хүнсний бараа, ундаа, ус",2025-03,
2015=100,"Хүнсний бараа, ундаа, ус",2025-02,
2015=100,"Хүнсний бараа, ундаа, ус",2025-01,
2015=100,"Хүнсний бараа, ундаа, ус",2024-12,
2015=100,"Хүнсний бараа, ундаа, ус",2024-11,
2015=100,"Хүнсний бараа, ундаа, ус",2024-10,
2015=100,"Хүнсний бараа, ундаа, ус",2024-09,
2015=100,"Хүнсний бараа, ундаа, ус",2024-08,
2015=100,"Хүнсний бараа, ундаа, ус",2024-07,
2015=100,"Хүнсний бараа, ундаа, ус",2024-06,
2015=100,"Хүнсний бараа, ундаа, ус",2024-05,
2015=100,"Хүнсний бараа, ундаа, ус",2024-04,
2015=100,"Хүнсний бараа, ундаа, ус",2024-03,
2015=100,"Хүнсний бараа, ундаа, ус",2024-02,
2015=100,"Хүнсний бараа, ундаа, ус",2024-01,
2015=100,"Хүнсний бараа, ундаа, ус",2023-12,
2015=100,"Хүнсний бараа, ундаа, ус",2023-11,
2015=100,"Хүнсний бараа, ундаа, ус",2023-10,
2015=100,"Хүнсний бараа, ундаа, ус",2023-09,
2015=100,"Хүнсний бараа, ундаа, ус",2023-08,
2015=100,"Хүнсний бараа, ундаа, ус",2023-07,
2015=100,"Хүнсний бараа, ундаа, ус",2023-06,
2015=100,"Хүнсний бараа, ундаа, ус",2023-05,
2015=100,"Хүнсний бараа, ундаа, ус",2023-04,
2015=100,"Хүнсний бараа, ундаа, ус",2023-03,
2015=100,"Хүнсний бараа, ундаа, ус",2023-02,
2015=100,"Хүнсний бараа, ундаа, ус",2023-01,
2015=100,"Хүнсний бараа, ундаа, ус",2022-12,
2015=100,"Хүнсний бараа, ундаа, ус",2022-11,
2015=100,"Хүнсний бараа, ундаа, ус",2022-10,
2015=100,"Хүнсний бараа, ундаа, ус",2022-09,
2015=100,"Хүнсний бараа, ундаа, ус",2022-08,
2015=100,"Хүнсний бараа, ундаа, ус",2022-07,183.9
2015=100,"Хүнсний бараа, ундаа, ус",2022-06,181.3
2015=100,"Хүнсний бараа, ундаа, ус",2022-05,177.1
2015=100,"Хүнсний бараа, ундаа, ус",2022-04,172.2
2015=100,"Хүнсний бараа, ундаа, ус",2022-03,166.7
2015=100,"Хүнсний бараа, ундаа, ус",2022-02,164.5
2015=100,"Хүнсний бараа, ундаа, ус",2022-01,162.7
2015=100,"Хүнсний бараа, ундаа, ус",2021-12,157.3
2015=100,"Хүнсний бараа, ундаа, ус",2021-11,152.8
2015=100,"Хүнсний бараа, ундаа, ус",2021-10,149.9
2015=100,"Хүнсний бараа, ундаа, ус",2021-09,146.7
2015=100,"Хүнсний бараа, ундаа, ус",2021-08,148.0
2015=100,"Хүнсний бараа, ундаа, ус",2021-07,151.3
2015=100,"Хүнсний бараа, ундаа, ус",2021-06,151.7
2015=100,"Хүнсний бараа, ундаа, ус",2021-05,150.1
2015=100,"Хүнсний бараа, ундаа, ус",2021-04,147.4
2015=100,"Хүнсний бараа, ундаа, ус",2021-03,141.3
2015=100,"Хүнсний бараа, ундаа, ус",2021-02,139.4
2015=100,"Хүнсний бараа, ундаа, ус",2021-01,134.2
2015=100,"Хүнсний бараа, ундаа, ус",2020-12,130.6
2015=100,"Хүнсний бараа, ундаа, ус",2020-11,128.7
2015=100,"Хүнсний бараа, ундаа, ус",2020-10,126.8
2015=100,"Хүнсний бараа, ундаа, ус",2020-09,127.1
2015=100,"Хүнсний бараа, ундаа, ус",2020-08,130.1
2015=100,"Хүнсний бараа, ундаа, ус",2020-07,136.0
2015=100,"Хүнсний бараа, ундаа, ус",2020-06,134.3
2015=100,"Хүнсний бараа, ундаа, ус",2020-05,132.7
2015=100,"Хүнсний бараа, ундаа, ус",2020-04,131.1
2015=100,"Хүнсний бараа, ундаа, ус",2020-03,130.7
2015=100,"Хүнсний бараа, ундаа, ус",2020-02,128.1
2015=100,"Хүнсний бараа, ундаа, ус",2020-01,123.8
2015=100,"Хүнсний бараа, ундаа, ус",2019-12,120.4
2015=100,"Хүнсний бараа, ундаа, ус",2019-11,119.5
2015=100,"Хүнсний бараа, ундаа, ус",2019-10,122.3
2015=100,"Хүнсний бараа, ундаа, ус",2019-09,124.1
2015=100,"Хүнсний бараа, ундаа, ус",2019-08,124.6
2015=100,"Хүнсний бараа, ундаа, ус",2019-07,126.6
2015=100,"Хүнсний бараа, ундаа, ус",2019-06,127.6
2015=100,"Хүнсний бараа, ундаа, ус",2019-05,126.8
2015=100,"Хүнсний бараа, ундаа, ус",2019-04,121.6
2015=100,"Хүнсний бараа, ундаа, ус",2019-03,118.3
2015=100,"Хүнсний бараа, ундаа, ус",2019-02,116.1
2015=100,"Хүнсний бараа, ундаа, ус",2019-01,114.9
2015=100,"Хүнсний бараа, ундаа, ус",2018-12,111.1
2015=100,"Хүнсний бараа, ундаа, ус",2018-11,109.1
2015=100,"Хүнсний бараа, ундаа, ус",2018-10,107.2
2015=100,"Хүнсний бараа, ундаа, ус",2018-09,107.4
2015=100,"Хүнсний бараа, ундаа, ус",2018-08,110.0
2015=100,"Хүнсний бараа, ундаа, ус",2018-07,115.6
2015=100,"Хүнсний бараа, ундаа, ус",2018-06,115.2
2015=100,"Хүнсний бараа, ундаа, ус",2018-05,113.9
2015=100,"Хүнсний бараа, ундаа, ус",2018-04,112.3
2015=100,"Хүнсний бараа, ундаа, ус",2018-03,109.4
2015=100,"Хүнсний бараа, ундаа, ус",2018-02,106.7
2015=100,"Хүнсний бараа, ундаа, ус",2018-01,103.7
2015=100,"Хүнсний бараа, ундаа, ус",2017-12,101.8
2015=100,"Хүнсний бараа, ундаа, ус",2017-11,101.4
2015=100,"Хүнсний бараа, ундаа, ус",2017-10,101.8
2015=100,"Хүнсний бараа, ундаа, ус",2017-09,103.0
2015=100,"Хүнсний бараа, ундаа, ус",2017-08,104.1
2015=100,"Хүнсний бараа, ундаа, ус",2017-07,104.0
2015=100,"Хүнсний бараа, ундаа, ус",2017-06,104.0
2015=100,"Хүнсний бараа, ундаа, ус",2017-05,106.4
2015=100,"Хүнсний бараа, ундаа, ус",2017-04,105.8
2015=100,"Хүнсний бараа, ундаа, ус",2017-03,103.3
2015=100,"Хүнсний бараа, ундаа, ус",2017-02,100.6
2015=100,"Хүнсний бараа, ундаа, ус",2017-01,98.0
2015=100,"Хүнсний бараа, ундаа, ус",2016-12,94.9
2015=100,"Хүнсний бараа, ундаа, ус",2016-11,93.3
2015=100,"Хүнсний бараа, ундаа, ус",2016-10,93.4
2015=100,"Хүнсний бараа, ундаа, ус",2016-09,95.8
2015=100,"Хүнсний бараа, ундаа, ус",2016-08,98.2
2015=100,"Хүнсний бараа, ундаа, ус",2016-07,102.3
2015=100,"Хүнсний бараа, ундаа, ус",2016-06,103.3
2015=100,"Хүнсний бараа, ундаа, ус",2016-05,104.2
2015=100,"Хүнсний бараа, ундаа, ус",2016-04,103.8
2015=100,"Хүнсний бараа, ундаа, ус",2016-03,99.6
2015=100,"Хүнсний бараа, ундаа, ус",2016-02,97.8
2015=100,"Хүнсний бараа, ундаа, ус",2016-01,95.4
2015=100,"Хүнсний бараа, ундаа, ус",2015-12,93.3
2015=100,"Хүнсний бараа, ундаа, ус",2015-11,94.0
2015=100,"Хүнсний бараа, ундаа, ус",2015-10,95.5
2015=100,"Хүнсний бараа, ундаа, ус",2015-09,98.0
2015=100,"Хүнсний бараа, ундаа, ус",2015-08,101.2
2015=100,"Хүнсний бараа, ундаа, ус",2015-07,102.7
2015=100,"Хүнсний бараа, ундаа, ус",2015-06,103.8
2015=100,"Хүнсний бараа, ундаа, ус",2015-05,104.6
2015=100,"Хүнсний бараа, ундаа, ус",2015-04,104.3
2015=100,"Хүнсний бараа, ундаа, ус",2015-03,102.3
2015=100,"Хүнсний бараа, ундаа, ус",2015-02,100.4
2015=100,"Хүнсний бараа, ундаа, ус",2015-01,99.9
2015=100,"Хүнсний бараа, ундаа, ус",2014-12,99.1
2015=100,"Хүнсний бараа, ундаа, ус",2014-11,98.0
2015=100,"Хүнсний бараа, ундаа, ус",2014-10,97.8
2015=100,"Хүнсний бараа, ундаа, ус",2014-09,98.4
2015=100,"Хүнсний бараа, ундаа, ус",2014-08,98.8
2015=100,"Хүнсний бараа, ундаа, ус",2014-07,102.5
2015=100,"Хүнсний бараа, ундаа, ус",2014-06,103.5
2015=100,"Хүнсний бараа, ундаа, ус",2014-05,102.7
2015=100,"Хүнсний бараа, ундаа, ус",2014-04,100.0
2015=100,"Хүнсний бараа, ундаа, ус",2014-03,97.9
2015=100,"Хүнсний бараа, ундаа, ус",2014-02,96.3
2015=100,"Хүнсний бараа, ундаа, ус",2014-01,94.6
2015=100,"Хүнсний бараа, ундаа, ус",2013-12,93.0
2015=100,"Хүнсний бараа, ундаа, ус",2013-11,91.1
2015=100,"Хүнсний бараа, ундаа, ус",2013-10,89.8
2015=100,"Хүнсний бараа, ундаа, ус",2013-09,90.1
2015=100,"Хүнсний бараа, ундаа, ус",2013-08,89.6
2015=100,"Хүнсний бараа, ундаа, ус",2013-07,92.0
2015=100,"Хүнсний бараа, ундаа, ус",2013-06,92.5
2015=100,"Хүнсний бараа, ундаа, ус",2013-05,93.4
2015=100,"Хүнсний бараа, ундаа, ус",2013-04,92.4
2015=100,"Хүнсний бараа, ундаа, ус",2013-03,89.9
2015=100,"Хүнсний бараа, ундаа, ус",2013-02,88.3
2015=100,"Хүнсний бараа, ундаа, ус",2013-01,85.7
2015=100,"Хүнсний бараа, ундаа, ус",2012-12,82.1
2015=100,"Хүнсний бараа, ундаа, ус",2012-11,80.7
2015=100,"Хүнсний бараа, ундаа, ус",2012-10,80.8
2015=100,"Хүнсний бараа, ундаа, ус",2012-09,82.6
2015=100,"Хүнсний бараа, ундаа, ус",2012-08,84.9
2015=100,"Хүнсний бараа, ундаа, ус",2012-07,86.7
2015=100,"Хүнсний бараа, ундаа, ус",2012-06,85.6
2015=100,"Хүнсний бараа, ундаа, ус",2012-05,85.1
2015=100,"Хүнсний бараа, ундаа, ус",2012-04,84.0
2015=100,"Хүнсний бараа, ундаа, ус",2012-03,83.4
2015=100,"Хүнсний бараа, ундаа, ус",2012-02,78.1
2015=100,"Хүнсний бараа, ундаа, ус",2012-01,72.9
2015=100,"Хүнсний бараа, ундаа, ус",2011-12,69.9
2015=100,"Хүнсний бараа, ундаа, ус",2011-11,68.0
2015=100,"Хүнсний бараа, ундаа, ус",2011-10,67.4
2015=100,"Хүнсний бараа, ундаа, ус",2011-09,67.8
2015=100,"Хүнсний бараа, ундаа, ус",2011-08,68.1
2015=100,"Хүнсний бараа, ундаа, ус",2011-07,69.5
2015=100,"Хүнсний бараа, ундаа, ус",2011-06,68.5
2015=100,"Хүнсний бараа, ундаа, ус",2011-05,68.3
2015=100,"Хүнсний бараа, ундаа, ус",2011-04,66.4
2015=100,"Хүнсний бараа, ундаа, ус",2011-03,67.0
2015=100,"Хүнсний бараа, ундаа, ус",2011-02,68.0
2015=100,"Хүнсний бараа, ундаа, ус",2011-01,67.4
2015=100,"Хүнсний бараа, ундаа, ус",2010-12,64.3
2015=100,"Хүнсний бараа, ундаа, ус",2010-11,61.1
2015=100,"Хүнсний бараа, ундаа, ус",2010-10,59.8
2015=100,"Хүнсний бараа, ундаа, ус",2010-09,60.1
2015=100,"Хүнсний бараа, ундаа, ус",2010-08,61.4
2015=100,"Хүнсний бараа, ундаа, ус",2010-07,62.5
2015=100,"Хүнсний бараа, ундаа, ус",2010-06,66.9
