Үзүүлэлт,Он,value
Бүгд,2025,819907
Бүгд,2024,797905
Бүгд,2023,771722
Бүгд,2022,746405
Бүгд,2021,712353
Бүгд,2020,680837
Бүгд,2019,640449
Бүгд,2018,593150
Бүгд,2017,572752
Бүгд,2016,551953
Бүгд,2015,535055
Бүгд,2014,505816
Бүгд,2013,497022
Бүгд,2012,496123
Бүгд,2011,505409
Бүгд,2010,512213
Yүнээс: Эмэгтэй,2025,407097
Yүнээс: Эмэгтэй,2024,396663
Yүнээс: Эмэгтэй,2023,383583
Yүнээс: Эмэгтэй,2022,371533
Yүнээс: Эмэгтэй,2021,355170
Yүнээс: Эмэгтэй,2020,339681
Yүнээс: Эмэгтэй,2019,319912
Yүнээс: Эмэгтэй,2018,295558
Yүнээс: Эмэгтэй,2017,286014
Yүнээс: Эмэгтэй,2016,277047
Yүнээс: Эмэгтэй,2015,269384
Yүнээс: Эмэгтэй,2014,253505
Yүнээс: Эмэгтэй,2013,248960
Yүнээс: Эмэгтэй,2012,248974
Yүнээс: Эмэгтэй,2011,253456
Yүнээс: Эмэгтэй,2010,257302
Бага,2025,378408
Бага,2024,379647
Бага,2023,381481
Бага,2022,382002
Бага,2021,371480
Бага,2020,356904
Бага,2019,342634
Бага,2018,327019
Бага,2017,309355
Бага,2016,288345
Бага,2015,271687
Бага,2014,251204
Бага,2013,239289
Бага,2012,245387
Бага,2011,256584
Бага,2010,265639
Дунд,2025,290628
Дунд,2024,273943
Дунд,2023,262266
Дунд,2022,251347
Дунд,2021,238348
Дунд,2020,222153
Дунд,2019,200806
Дунд,2018,184017
Дунд,2017,176210
Дунд,2016,167364
Дунд,2015,147031
Дунд,2014,158634
Дунд,2013,164633
Дунд,2012,155318
Дунд,2011,169275
Дунд,2010,172847
Ахлах,2025,150871
Ахлах,2024,144315
Ахлах,2023,127975
Ахлах,2022,113056
Ахлах,2021,102525
Ахлах,2020,101780
Ахлах,2019,97009
Ахлах,2018,82114
Ахлах,2017,87187
Ахлах,2016,96244
Ахлах,2015,116337
Ахлах,2014,95978
Ахлах,2013,93100
Ахлах,2012,95418
Ахлах,2011,79550
Ахлах,2010,73727
Төрийн өмчийн,2025,739382
Төрийн өмчийн,2024,721758
Төрийн өмчийн,2023,701065
Төрийн өмчийн,2022,683708
Төрийн өмчийн,2021,658634
Төрийн өмчийн,2020,632499
Төрийн өмчийн,2019,593438
Төрийн өмчийн,2018,553562
Төрийн өмчийн,2017,537740
Төрийн өмчийн,2016,520201
Төрийн өмчийн,2015,504070
Төрийн өмчийн,2014,476676
Төрийн өмчийн,2013,468370
Төрийн өмчийн,2012,467918
Төрийн өмчийн,2011,477073
Төрийн өмчийн,2010,484878
Хувийн өмчийн,2025,80525
Хувийн өмчийн,2024,76147
Хувийн өмчийн,2023,70657
Хувийн өмчийн,2022,62697
Хувийн өмчийн,2021,53719
Хувийн өмчийн,2020,48338
Хувийн өмчийн,2019,47011
Хувийн өмчийн,2018,39588
Хувийн өмчийн,2017,35012
Хувийн өмчийн,2016,31752
Хувийн өмчийн,2015,30985
Хувийн өмчийн,2014,29140
Хувийн өмчийн,2013,28652
Хувийн өмчийн,2012,28205
Хувийн өмчийн,2011,28336
Хувийн өмчийн,2010,27335
