Region,Age group,Gender,Year,value
Total,30-34, Male,2014,91.3
Total,30-34, Male,2013,89.3
Total,30-34, Male,2012,88.4
Total,30-34, Male,2011,88.1
Total,30-34, Male,2010,89.3
Total,30-34, Male,2009,89.2
Total,30-34, Female,2025,74.0
Total,30-34, Female,2024,74.1
Total,30-34, Female,2023,69.9
Total,30-34, Female,2022,66.1
Total,30-34, Female,2021,65.8
Total,30-34, Female,2020,68.3
Total,30-34, Female,2019,71.8
Total,30-34, Female,2018,69.5
Total,30-34, Female,2017,72.3
Total,30-34, Female,2016,69.7
Total,30-34, Female,2015,73.4
Total,30-34, Female,2014,74.3
Total,30-34, Female,2013,72.4
Total,30-34, Female,2012,74.9
Total,30-34, Female,2011,74.2
Total,30-34, Female,2010,73.1
Total,30-34, Female,2009,74.7
Total,35-39,Total,2025,84.0
Total,35-39,Total,2024,83.5
Total,35-39,Total,2023,79.1
Total,35-39,Total,2022,79.2
Total,35-39,Total,2021,80.8
Total,35-39,Total,2020,81.1
Total,35-39,Total,2019,82.9
Total,35-39,Total,2018,83.1
Total,35-39,Total,2017,82.2
Total,35-39,Total,2016,82.7
Total,35-39,Total,2015,84.3
Total,35-39,Total,2014,85.4
Total,35-39,Total,2013,84.1
Total,35-39,Total,2012,85.4
Total,35-39,Total,2011,85.1
Total,35-39,Total,2010,84.9
Total,35-39,Total,2009,84.7
Total,35-39, Male,2025,95.0
Total,35-39, Male,2024,91.6
Total,35-39, Male,2023,89.5
Total,35-39, Male,2022,89.5
Total,35-39, Male,2021,88.3
Total,35-39, Male,2020,88.8
Total,35-39, Male,2019,90.0
Total,35-39, Male,2018,91.5
Total,35-39, Male,2017,89.0
Total,35-39, Male,2016,87.9
Total,35-39, Male,2015,90.4
Total,35-39, Male,2014,91.2
Total,35-39, Male,2013,89.0
Total,35-39, Male,2012,89.9
Total,35-39, Male,2011,90.3
Total,35-39, Male,2010,89.7
Total,35-39, Male,2009,89.1
Total,35-39, Female,2025,73.0
Total,35-39, Female,2024,75.9
Total,35-39, Female,2023,68.6
Total,35-39, Female,2022,69.5
Total,35-39, Female,2021,73.2
Total,35-39, Female,2020,73.9
Total,35-39, Female,2019,76.2
Total,35-39, Female,2018,75.5
Total,35-39, Female,2017,76.0
Total,35-39, Female,2016,77.7
Total,35-39, Female,2015,78.8
Total,35-39, Female,2014,80.0
Total,35-39, Female,2013,79.7
Total,35-39, Female,2012,81.4
Total,35-39, Female,2011,80.5
Total,35-39, Female,2010,80.7
Total,35-39, Female,2009,80.7
Total,40-44,Total,2025,86.3
Total,40-44,Total,2024,86.4
Total,40-44,Total,2023,82.8
Total,40-44,Total,2022,83.4
Total,40-44,Total,2021,81.1
Total,40-44,Total,2020,81.1
Total,40-44,Total,2019,85.5
Total,40-44,Total,2018,84.4
Total,40-44,Total,2017,84.2
Total,40-44,Total,2016,82.7
Total,40-44,Total,2015,86.0
Total,40-44,Total,2014,86.1
Total,40-44,Total,2013,85.1
Total,40-44,Total,2012,86.0
Total,40-44,Total,2011,86.4
Total,40-44,Total,2010,85.8
Total,40-44,Total,2009,87.6
Total,40-44, Male,2025,91.5
Total,40-44, Male,2024,91.9
Total,40-44, Male,2023,87.5
Total,40-44, Male,2022,88.9
Total,40-44, Male,2021,84.7
Total,40-44, Male,2020,88.2
Total,40-44, Male,2019,89.7
Total,40-44, Male,2018,89.5
Total,40-44, Male,2017,88.6
Total,40-44, Male,2016,86.1
Total,40-44, Male,2015,89.6
Total,40-44, Male,2014,90.1
Total,40-44, Male,2013,88.1
Total,40-44, Male,2012,87.6
Total,40-44, Male,2011,89.4
Total,40-44, Male,2010,88.7
Total,40-44, Male,2009,90.2
Total,40-44, Female,2025,81.0
Total,40-44, Female,2024,81.1
Total,40-44, Female,2023,78.2
Total,40-44, Female,2022,78.1
Total,40-44, Female,2021,77.8
Total,40-44, Female,2020,74.9
Total,40-44, Female,2019,81.3
Total,40-44, Female,2018,79.8
Total,40-44, Female,2017,80.0
Total,40-44, Female,2016,79.4
Total,40-44, Female,2015,82.7
Total,40-44, Female,2014,82.4
Total,40-44, Female,2013,82.2
Total,40-44, Female,2012,84.5
Total,40-44, Female,2011,83.6
Total,40-44, Female,2010,83.3
Total,40-44, Female,2009,85.2
Total,45-49,Total,2025,85.5
Total,45-49,Total,2024,86.8
Total,45-49,Total,2023,82.9
Total,45-49,Total,2022,82.9
Total,45-49,Total,2021,78.4
Total,45-49,Total,2020,81.2
Total,45-49,Total,2019,83.1
Total,45-49,Total,2018,84.4
Total,45-49,Total,2017,83.0
Total,45-49,Total,2016,81.9
Total,45-49,Total,2015,84.3
Total,45-49,Total,2014,82.2
Total,45-49,Total,2013,84.0
Total,45-49,Total,2012,82.1
Total,45-49,Total,2011,83.2
Total,45-49,Total,2010,83.1
Total,45-49,Total,2009,84.5
Total,45-49, Male,2025,89.0
Total,45-49, Male,2024,88.0
Total,45-49, Male,2023,85.0
Total,45-49, Male,2022,87.3
Total,45-49, Male,2021,80.9
Total,45-49, Male,2020,82.8
Total,45-49, Male,2019,86.2
Total,45-49, Male,2018,87.7
Total,45-49, Male,2017,85.6
Total,45-49, Male,2016,83.7
Total,45-49, Male,2015,86.0
Total,45-49, Male,2014,85.0
Total,45-49, Male,2013,87.2
Total,45-49, Male,2012,83.7
Total,45-49, Male,2011,85.9
Total,45-49, Male,2010,86.3
Total,45-49, Male,2009,88.0
Total,45-49, Female,2025,82.4
Total,45-49, Female,2024,85.6
Total,45-49, Female,2023,80.9
Total,45-49, Female,2022,79.0
Total,45-49, Female,2021,75.9
Total,45-49, Female,2020,79.6
Total,45-49, Female,2019,80.1
Total,45-49, Female,2018,81.4
Total,45-49, Female,2017,80.7
Total,45-49, Female,2016,80.4
Total,45-49, Female,2015,82.7
Total,45-49, Female,2014,79.8
Total,45-49, Female,2013,81.1
Total,45-49, Female,2012,80.6
Total,45-49, Female,2011,80.9
Total,45-49, Female,2010,80.1
Total,45-49, Female,2009,81.5
Total,50-54,Total,2025,79.4
Total,50-54,Total,2024,79.1
Total,50-54,Total,2023,74.4
Total,50-54,Total,2022,76.2
Total,50-54,Total,2021,73.2
Total,50-54,Total,2020,73.8
Total,50-54,Total,2019,74.3
Total,50-54,Total,2018,73.0
Total,50-54,Total,2017,73.3
Total,50-54,Total,2016,72.5
Total,50-54,Total,2015,72.0
Total,50-54,Total,2014,71.3
Total,50-54,Total,2013,72.1
Total,50-54,Total,2012,71.4
Total,50-54,Total,2011,71.7
Total,50-54,Total,2010,72.4
Total,50-54,Total,2009,71.1
Total,50-54, Male,2025,82.6
Total,50-54, Male,2024,83.5
Total,50-54, Male,2023,77.6
Total,50-54, Male,2022,79.0
Total,50-54, Male,2021,76.3
Total,50-54, Male,2020,74.7
Total,50-54, Male,2019,78.9
Total,50-54, Male,2018,79.5
Total,50-54, Male,2017,80.2
Total,50-54, Male,2016,79.3
Total,50-54, Male,2015,79.3
Total,50-54, Male,2014,77.4
Total,50-54, Male,2013,77.5
Total,50-54, Male,2012,77.3
Total,50-54, Male,2011,79.1
Total,50-54, Male,2010,79.0
Total,50-54, Male,2009,77.4
Total,50-54, Female,2025,76.2
Total,50-54, Female,2024,75.4
Total,50-54, Female,2023,71.6
Total,50-54, Female,2022,73.7
Total,50-54, Female,2021,70.5
Total,50-54, Female,2020,73.0
Total,50-54, Female,2019,70.2
Total,50-54, Female,2018,67.4
Total,50-54, Female,2017,67.5
Total,50-54, Female,2016,66.4
Total,50-54, Female,2015,65.5
Total,50-54, Female,2014,65.7
Total,50-54, Female,2013,67.7
Total,50-54, Female,2012,66.5
Total,50-54, Female,2011,64.6
Total,50-54, Female,2010,66.1
Total,50-54, Female,2009,65.1
Total,55-59,Total,2025,58.5
Total,55-59,Total,2024,53.8
Total,55-59,Total,2023,53.3
Total,55-59,Total,2022,47.5
Total,55-59,Total,2021,46.4
Total,55-59,Total,2020,48.1
Total,55-59,Total,2019,50.3
Total,55-59,Total,2018,48.5
Total,55-59,Total,2017,48.5
Total,55-59,Total,2016,46.0
Total,55-59,Total,2015,45.8
Total,55-59,Total,2014,44.5
Total,55-59,Total,2013,48.5
Total,55-59,Total,2012,49.2
Total,55-59,Total,2011,51.6
Total,55-59,Total,2010,51.8
Total,55-59,Total,2009,47.2
Total,55-59, Male,2025,69.8
Total,55-59, Male,2024,70.5
Total,55-59, Male,2023,67.4
Total,55-59, Male,2022,64.1
Total,55-59, Male,2021,62.6
Total,55-59, Male,2020,63.0
Total,55-59, Male,2019,67.1
Total,55-59, Male,2018,65.0
Total,55-59, Male,2017,62.5
Total,55-59, Male,2016,62.7
Total,55-59, Male,2015,63.8
Total,55-59, Male,2014,60.5
Total,55-59, Male,2013,62.1
Total,55-59, Male,2012,62.7
Total,55-59, Male,2011,66.7
Total,55-59, Male,2010,66.2
Total,55-59, Male,2009,61.9
Total,55-59, Female,2025,48.9
Total,55-59, Female,2024,40.7
Total,55-59, Female,2023,41.5
Total,55-59, Female,2022,34.0
Total,55-59, Female,2021,32.9
Total,55-59, Female,2020,37.5
Total,55-59, Female,2019,37.4
Total,55-59, Female,2018,34.3
Total,55-59, Female,2017,36.1
Total,55-59, Female,2016,32.8
Total,55-59, Female,2015,31.2
Total,55-59, Female,2014,31.6
Total,55-59, Female,2013,37.5
Total,55-59, Female,2012,38.5
Total,55-59, Female,2011,38.1
Total,55-59, Female,2010,38.4
Total,55-59, Female,2009,34.0
Total,60-64,Total,2025,30.0
Total,60-64,Total,2024,28.6
Total,60-64,Total,2023,26.9
Total,60-64,Total,2022,28.2
Total,60-64,Total,2021,23.3
Total,60-64,Total,2020,23.4
Total,60-64,Total,2019,27.2
Total,60-64,Total,2018,21.1
Total,60-64,Total,2017,25.2
Total,60-64,Total,2016,22.2
Total,60-64,Total,2015,21.8
Total,60-64,Total,2014,19.3
Total,60-64,Total,2013,24.5
Total,60-64,Total,2012,25.7
Total,60-64,Total,2011,29.0
Total,60-64,Total,2010,27.5
Total,60-64,Total,2009,29.2
Total,60-64, Male,2025,39.7
Total,60-64, Male,2024,37.3
Total,60-64, Male,2023,32.3
Total,60-64, Male,2022,31.7
Total,60-64, Male,2021,25.6
Total,60-64, Male,2020,31.9
Total,60-64, Male,2019,32.3
Total,60-64, Male,2018,26.0
Total,60-64, Male,2017,29.7
Total,60-64, Male,2016,27.7
Total,60-64, Male,2015,25.2
Total,60-64, Male,2014,25.5
Total,60-64, Male,2013,29.3
Total,60-64, Male,2012,33.7
Total,60-64, Male,2011,35.7
Total,60-64, Male,2010,34.2
Total,60-64, Male,2009,33.2
Total,60-64, Female,2025,22.5
Total,60-64, Female,2024,22.3
Total,60-64, Female,2023,23.3
Total,60-64, Female,2022,25.5
Total,60-64, Female,2021,21.5
Total,60-64, Female,2020,17.5
Total,60-64, Female,2019,23.6
Total,60-64, Female,2018,17.7
Total,60-64, Female,2017,21.8
Total,60-64, Female,2016,17.8
Total,60-64, Female,2015,19.1
Total,60-64, Female,2014,13.9
Total,60-64, Female,2013,20.2
Total,60-64, Female,2012,18.8
Total,60-64, Female,2011,23.0
Total,60-64, Female,2010,21.1
Total,60-64, Female,2009,25.9
Total,65-69,Total,2025,17.8
Total,65-69,Total,2024,17.4
Total,65-69,Total,2023,18.2
Total,65-69,Total,2022,15.0
Total,65-69,Total,2021,15.4
Total,65-69,Total,2020,17.2
Total,65-69,Total,2019,18.9
Total,65-69,Total,2018,15.6
Total,65-69,Total,2017,15.5
Total,65-69,Total,2016,15.0
Total,65-69,Total,2015,13.1
Total,65-69,Total,2014,16.2
Total,65-69,Total,2013,15.0
Total,65-69,Total,2012,20.1
Total,65-69,Total,2011,18.0
Total,65-69,Total,2010,20.2
Total,65-69,Total,2009,16.6
Total,65-69, Male,2025,24.1
Total,65-69, Male,2024,18.4
Total,65-69, Male,2023,22.3
Total,65-69, Male,2022,21.2
Total,65-69, Male,2021,22.4
Total,65-69, Male,2020,21.4
Total,65-69, Male,2019,25.8
Total,65-69, Male,2018,18.6
Total,65-69, Male,2017,16.4
Total,65-69, Male,2016,19.0
Total,65-69, Male,2015,15.1
Total,65-69, Male,2014,17.9
Total,65-69, Male,2013,18.7
Total,65-69, Male,2012,25.7
Total,65-69, Male,2011,23.3
Total,65-69, Male,2010,25.9
Total,65-69, Male,2009,20.2
Total,65-69, Female,2025,13.9
Total,65-69, Female,2024,16.5
Total,65-69, Female,2023,15.4
Total,65-69, Female,2022,9.6
Total,65-69, Female,2021,10.4
Total,65-69, Female,2020,13.9
Total,65-69, Female,2019,13.2
Total,65-69, Female,2018,13.3
Total,65-69, Female,2017,14.9
Total,65-69, Female,2016,11.7
Total,65-69, Female,2015,11.6
Total,65-69, Female,2014,14.8
Total,65-69, Female,2013,12.0
Total,65-69, Female,2012,15.7
Total,65-69, Female,2011,13.8
Total,65-69, Female,2010,14.5
Total,65-69, Female,2009,13.4
Total,70+,Total,2025,6.3
Total,70+,Total,2024,5.9
Total,70+,Total,2023,7.0
Total,70+,Total,2022,5.1
Total,70+,Total,2021,6.0
Total,70+,Total,2020,7.8
Total,70+,Total,2019,8.1
Total,70+,Total,2018,7.7
Total,70+,Total,2017,7.7
Total,70+,Total,2016,6.8
Total,70+,Total,2015,6.2
Total,70+,Total,2014,7.1
Total,70+,Total,2013,6.3
Total,70+,Total,2012,12.3
Total,70+,Total,2011,10.3
Total,70+,Total,2010,7.4
Total,70+,Total,2009,5.6
Total,70+, Male,2025,6.5
Total,70+, Male,2024,9.6
Total,70+, Male,2023,11.3
Total,70+, Male,2022,7.5
Total,70+, Male,2021,7.7
Total,70+, Male,2020,11.3
Total,70+, Male,2019,10.0
Total,70+, Male,2018,11.4
Total,70+, Male,2017,10.3
Total,70+, Male,2016,10.1
Total,70+, Male,2015,8.4
Total,70+, Male,2014,10.2
Total,70+, Male,2013,9.1
Total,70+, Male,2012,14.8
Total,70+, Male,2011,15.7
Total,70+, Male,2010,10.2
Total,70+, Male,2009,6.5
Total,70+, Female,2025,6.2
Total,70+, Female,2024,3.7
Total,70+, Female,2023,4.3
Total,70+, Female,2022,3.5
Total,70+, Female,2021,4.8
Total,70+, Female,2020,5.7
Total,70+, Female,2019,6.9
Total,70+, Female,2018,5.2
Total,70+, Female,2017,5.6
Total,70+, Female,2016,4.4
Total,70+, Female,2015,4.7
Total,70+, Female,2014,5.0
Total,70+, Female,2013,4.4
Total,70+, Female,2012,10.4
Total,70+, Female,2011,6.5
Total,70+, Female,2010,5.5
Total,70+, Female,2009,4.9
 Khangai region,Total,Total,2025,70.4
 Khangai region,Total,Total,2024,70.0
 Khangai region,Total,Total,2023,68.9
 Khangai region,Total,Total,2022,73.3
 Khangai region,Total,Total,2021,71.2
 Khangai region,Total,Total,2020,68.2
 Khangai region,Total,Total,2019,72.4
 Khangai region,Total,Total,2018,70.5
 Khangai region,Total,Total,2017,72.7
 Khangai region,Total,Total,2016,74.4
 Khangai region,Total,Total,2015,70.7
 Khangai region,Total,Total,2014,74.1
 Khangai region,Total,Total,2013,74.3
 Khangai region,Total,Total,2012,77.0
 Khangai region,Total,Total,2011,70.9
 Khangai region,Total,Total,2010,72.7
 Khangai region,Total,Total,2009,73.4
 Khangai region,Total, Male,2025,77.0
 Khangai region,Total, Male,2024,76.4
 Khangai region,Total, Male,2023,74.7
 Khangai region,Total, Male,2022,80.2
 Khangai region,Total, Male,2021,77.5
 Khangai region,Total, Male,2020,72.3
 Khangai region,Total, Male,2019,77.9
 Khangai region,Total, Male,2018,76.5
 Khangai region,Total, Male,2017,76.5
 Khangai region,Total, Male,2016,78.9
 Khangai region,Total, Male,2015,74.6
 Khangai region,Total, Male,2014,77.7
 Khangai region,Total, Male,2013,77.7
 Khangai region,Total, Male,2012,82.3
 Khangai region,Total, Male,2011,75.9
 Khangai region,Total, Male,2010,77.3
 Khangai region,Total, Male,2009,75.8
 Khangai region,Total, Female,2025,64.0
 Khangai region,Total, Female,2024,64.0
 Khangai region,Total, Female,2023,63.6
 Khangai region,Total, Female,2022,66.8
 Khangai region,Total, Female,2021,65.4
 Khangai region,Total, Female,2020,64.3
 Khangai region,Total, Female,2019,66.7
 Khangai region,Total, Female,2018,64.7
 Khangai region,Total, Female,2017,68.9
 Khangai region,Total, Female,2016,69.9
 Khangai region,Total, Female,2015,67.0
 Khangai region,Total, Female,2014,70.6
 Khangai region,Total, Female,2013,71.0
 Khangai region,Total, Female,2012,71.9
 Khangai region,Total, Female,2011,66.3
 Khangai region,Total, Female,2010,68.1
 Khangai region,Total, Female,2009,70.9
 Khangai region,15-19,Total,2025,12.8
 Khangai region,15-19,Total,2024,17.4
 Khangai region,15-19,Total,2023,19.1
 Khangai region,15-19,Total,2022,20.3
 Khangai region,15-19,Total,2021,14.1
 Khangai region,15-19,Total,2020,17.6
 Khangai region,15-19,Total,2019,20.5
 Khangai region,15-19,Total,2018,20.5
 Khangai region,15-19,Total,2017,24.2
 Khangai region,15-19,Total,2016,20.4
 Khangai region,15-19,Total,2015,15.6
 Khangai region,15-19,Total,2014,23.2
 Khangai region,15-19,Total,2013,34.5
 Khangai region,15-19,Total,2012,57.0
 Khangai region,15-19,Total,2011,34.3
 Khangai region,15-19,Total,2010,33.9
 Khangai region,15-19,Total,2009,39.4
 Khangai region,15-19, Male,2025,19.5
 Khangai region,15-19, Male,2024,26.3
 Khangai region,15-19, Male,2023,25.9
 Khangai region,15-19, Male,2022,23.8
 Khangai region,15-19, Male,2021,16.6
 Khangai region,15-19, Male,2020,23.9
 Khangai region,15-19, Male,2019,25.4
 Khangai region,15-19, Male,2018,28.4
 Khangai region,15-19, Male,2017,29.5
 Khangai region,15-19, Male,2016,25.2
 Khangai region,15-19, Male,2015,21.0
 Khangai region,15-19, Male,2014,29.3
 Khangai region,15-19, Male,2013,37.2
 Khangai region,15-19, Male,2012,58.7
 Khangai region,15-19, Male,2011,41.3
 Khangai region,15-19, Male,2010,41.1
 Khangai region,15-19, Male,2009,46.2
 Khangai region,15-19, Female,2025,5.7
 Khangai region,15-19, Female,2024,6.3
 Khangai region,15-19, Female,2023,11.1
 Khangai region,15-19, Female,2022,15.6
 Khangai region,15-19, Female,2021,11.5
 Khangai region,15-19, Female,2020,8.3
 Khangai region,15-19, Female,2019,13.1
 Khangai region,15-19, Female,2018,10.8
 Khangai region,15-19, Female,2017,17.9
 Khangai region,15-19, Female,2016,15.1
 Khangai region,15-19, Female,2015,8.5
 Khangai region,15-19, Female,2014,16.5
 Khangai region,15-19, Female,2013,31.6
 Khangai region,15-19, Female,2012,55.4
 Khangai region,15-19, Female,2011,27.4
 Khangai region,15-19, Female,2010,26.7
 Khangai region,15-19, Female,2009,29.7
 Khangai region,20-24,Total,2025,69.3
 Khangai region,20-24,Total,2024,81.3
 Khangai region,20-24,Total,2023,64.9
 Khangai region,20-24,Total,2022,68.3
 Khangai region,20-24,Total,2021,65.9
 Khangai region,20-24,Total,2020,65.1
 Khangai region,20-24,Total,2019,81.0
 Khangai region,20-24,Total,2018,65.7
 Khangai region,20-24,Total,2017,66.3
 Khangai region,20-24,Total,2016,75.5
 Khangai region,20-24,Total,2015,68.5
 Khangai region,20-24,Total,2014,74.1
 Khangai region,20-24,Total,2013,72.4
 Khangai region,20-24,Total,2012,76.0
 Khangai region,20-24,Total,2011,71.2
 Khangai region,20-24,Total,2010,75.8
 Khangai region,20-24,Total,2009,75.5
 Khangai region,20-24, Male,2025,77.6
 Khangai region,20-24, Male,2024,90.1
 Khangai region,20-24, Male,2023,89.7
 Khangai region,20-24, Male,2022,88.6
 Khangai region,20-24, Male,2021,80.6
 Khangai region,20-24, Male,2020,66.8
 Khangai region,20-24, Male,2019,92.7
 Khangai region,20-24, Male,2018,80.4
 Khangai region,20-24, Male,2017,72.2
 Khangai region,20-24, Male,2016,83.0
 Khangai region,20-24, Male,2015,77.5
 Khangai region,20-24, Male,2014,82.7
 Khangai region,20-24, Male,2013,80.2
 Khangai region,20-24, Male,2012,90.2
 Khangai region,20-24, Male,2011,76.3
 Khangai region,20-24, Male,2010,80.8
