Age group,Year,value
15-19,2024,15.5
15-19,2023,17.9
15-19,2022,21.9
15-19,2021,23.8
15-19,2020,26.9
15-19,2019,30.7
15-19,2018,31.2
15-19,2017,30.6
15-19,2016,32.7
15-19,2015,29.9
15-19,2014,26.7
15-19,2013,28.8
15-19,2012,32.9
15-19,2011,20.2
15-19,2010,18.9
15-19,2009,19.5
15-19,2008,20.0
15-19,2007,18.7
15-19,2006,20.0
15-19,2005,15.5
15-19,2004,19.1
15-19,2003,18.8
15-19,2002,21.7
15-19,2001,29.0
15-19,2000,27.4
15-19,1999,31.0
15-19,1998,28.2
15-19,1997,38.2
15-19,1996,29.6
15-19,1995,32.9
15-19,1994,36.5
15-19,1993,35.5
15-19,1992,44.4
15-19,1991,39.4
15-19,1990,39.3
15-19,1985,34.9
15-19,1980,44.9
20-24,2024,106.9
20-24,2023,118.0
20-24,2022,129.2
20-24,2021,127.0
20-24,2020,141.0
20-24,2019,147.6
20-24,2018,149.8
20-24,2017,145.7
20-24,2016,156.4
20-24,2015,155.3
20-24,2014,152.7
20-24,2013,160.1
20-24,2012,157.2
20-24,2011,142.0
20-24,2010,129.2
20-24,2009,152.1
20-24,2008,143.3
20-24,2007,132.5
20-24,2006,126.2
20-24,2005,110.9
20-24,2004,120.0
20-24,2003,124.2
20-24,2002,127.0
20-24,2001,136.3
20-24,2000,142.6
20-24,1999,152.2
20-24,1998,154.9
20-24,1997,145.5
20-24,1996,164.1
20-24,1995,188.5
20-24,1994,182.0
20-24,1993,167.5
20-24,1992,216.6
20-24,1991,237.9
20-24,1990,249.6
20-24,1985,265.3
20-24,1980,280.0
25-29,2024,145.4
25-29,2023,155.8
25-29,2022,157.7
25-29,2021,159.0
25-29,2020,165.0
25-29,2019,166.7
25-29,2018,162.1
25-29,2017,153.4
25-29,2016,164.2
25-29,2015,168.7
25-29,2014,173.9
25-29,2013,176.3
25-29,2012,157.5
25-29,2011,160.6
25-29,2010,147.1
25-29,2009,168.7
25-29,2008,162.8
25-29,2007,146.5
25-29,2006,129.7
25-29,2005,123.9
25-29,2004,118.6
25-29,2003,120.7
25-29,2002,127.1
25-29,2001,133.3
25-29,2000,135.1
25-29,1999,140.8
25-29,1998,135.2
25-29,1997,135.3
25-29,1996,152.5
25-29,1995,158.9
25-29,1994,153.1
25-29,1993,147.4
25-29,1992,203.1
25-29,1991,244.7
25-29,1990,263.9
25-29,1985,348.7
25-29,1980,339.9
30-34,2024,120.2
30-34,2023,133.0
30-34,2022,125.6
30-34,2021,129.9
30-34,2020,135.2
30-34,2019,134.7
30-34,2018,131.3
30-34,2017,125.6
30-34,2016,130.3
30-34,2015,137.1
30-34,2014,142.8
30-34,2013,125.8
30-34,2012,115.5
30-34,2011,108.8
30-34,2010,105.5
30-34,2009,118.2
30-34,2008,115.9
30-34,2007,99.3
30-34,2006,84.0
30-34,2005,84.0
30-34,2004,78.0
30-34,2003,81.5
30-34,2002,86.4
30-34,2001,84.9
30-34,2000,85.7
30-34,1999,79.8
30-34,1998,79.6
30-34,1997,79.5
30-34,1996,86.0
30-34,1995,92.3
30-34,1994,88.7
30-34,1993,81.9
30-34,1992,124.2
30-34,1991,148.1
30-34,1990,179.8
30-34,1985,212.8
30-34,1980,258.6
35-39,2024,82.3
35-39,2023,90.0
35-39,2022,83.0
35-39,2021,90.3
