он,утга
1992,75.8
1993,73.9
1994,71.8
1995,68.5
1996,68.0
1997,66.7
1998,67.0
1999,66.7
2000,62.9
2001,62.2
2002,62.6
2003,64.5
2004,64.4
2005,63.5
2006,64.4
2007,64.2
2008,63.5
2009,61.4
2010,61.6
2011,62.5
2012,63.5
2013,61.9
2014,62.1
2015,61.5
2016,60.5
2017,61.1
2018,61.0
2019,62.8
2020,61.1
2021,59.1
2022,60.3
2023,59.5
2024,61.3
