он,утга
2009,61.4
2010,61.6
2011,62.5
2012,63.5
2013,61.9
2014,62.2
2015,61.5
2016,60.5
2017,61.1
2018,61.0
2019,62.8
2020,61.1
2021,59.1
2022,60.3
2023,59.5
2024,61.3
2025,61.1
