он,сар,аймаг,нийт_тоо,нийт_талбай_мян_га,ашиглалтын_тоо,ашиглалтын_талбай_мян_га,хайгуулын_тоо,хайгуулын_талбай_мян_га
2026,7,Архангай,32,38.2,21,12.3,11,26.0
2026,7,Баян-Өлгий,116,434.7,31,20.3,85,414.4
2026,7,Баянхонгор,154,490.7,99,167.0,55,323.7
2026,7,Булган,110,206.1,75,39.1,35,167.0
2026,7,Говь-Алтай,139,654.3,54,79.1,85,575.2
2026,7,Говьсүмбэр,17,42.1,14,37.5,3,4.6
2026,7,Дархан-Уул,67,16.9,60,8.4,7,8.5
2026,7,Дорноговь,373,1179.6,232,300.8,141,878.9
2026,7,Дорнод,170,680.9,85,82.0,85,598.8
2026,7,Дундговь,193,472.9,135,224.3,58,248.7
2026,7,Завхан,50,232.8,14,22.2,36,210.6
2026,7,Орхон,14,17.6,9,10.7,5,6.9
2026,7,Өвөрхангай,67,199.5,31,24.1,36,175.4
2026,7,Өмнөговь,155,837.5,111,488.5,44,349.0
2026,7,Сүхбаатар,114,473.5,73,61.7,41,411.9
2026,7,Сэлэнгэ,167,106.6,129,48.8,38,57.9
2026,7,Төв,391,386.8,300,173.9,91,212.9
2026,7,Увс,121,255.1,50,27.0,71,228.0
2026,7,Улаанбаатар,94,10.4,93,9.8,1,0.6
2026,7,Ховд,122,427.9,38,32.3,84,395.6
2026,7,Хөвсгөл,22,17.4,20,10.2,2,7.2
2026,7,Хэнтий,236,272.2,137,62.1,99,210.1
