Indicator,Region,Month,value
Hay bale,Western region,2025-12,
Hay bale,Western region,2025-11,
Hay bale,Western region,2025-10,
Hay bale,Western region,2025-09,
Hay bale,Western region,2025-08,
Hay bale,Western region,2025-07,
Hay bale,Western region,2025-06,
Hay bale,Western region,2025-05,
Hay bale,Western region,2025-04,
Hay bale,Western region,2025-03,
Hay bale,Western region,2025-02,
Hay bale,Western region,2025-01,
Hay bale,Western region,2024-12,
Hay bale,Western region,2024-11,
Hay bale,Western region,2024-10,
Hay bale,Western region,2024-09,
Hay bale,Western region,2024-08,
Hay bale,Western region,2024-07,
Hay bale,Western region,2024-06,
Hay bale,Western region,2024-05,
Hay bale,Western region,2024-04,
Hay bale,Western region,2024-03,
Hay bale,Western region,2024-02,
Hay bale,Western region,2024-01,
Hay bale,Western region,2023-12,
Hay bale,Western region,2023-11,
Hay bale,Western region,2023-10,
Hay bale,Western region,2023-09,
Hay bale,Western region,2023-08,
Hay bale,Western region,2023-07,
Hay bale,Western region,2023-06,
Hay bale,Western region,2023-05,
Hay bale,Western region,2023-04,
Hay bale,Western region,2023-03,
Hay bale,Western region,2023-02,
Hay bale,Western region,2023-01,
Hay bale,Western region,2022-12,
Hay bale,Western region,2022-11,
Hay bale,Western region,2022-10,
Hay bale,Western region,2022-09,
Hay bale,Western region,2022-08,
Hay bale,Western region,2022-07,
Hay bale,Western region,2022-06,
Hay bale,Western region,2022-05,
Hay bale,Western region,2022-04,
Hay bale,Western region,2022-03,
Hay bale,Western region,2022-02,
Hay bale,Western region,2022-01,
Hay bale,Western region,2021-12,
Hay bale,Western region,2021-11,
Hay bale,Western region,2021-10,
Hay bale,Western region,2021-09,
Hay bale,Western region,2021-08,
Hay bale,Western region,2021-07,
Hay bale,Western region,2021-06,
Hay bale,Western region,2021-05,
Hay bale,Western region,2021-04,
Hay bale,Western region,2021-03,
Hay bale,Western region,2021-02,
Hay bale,Western region,2021-01,
Hay bale,Western region,2020-12,
Hay bale,Western region,2020-11,
Hay bale,Western region,2020-10,
Hay bale,Western region,2020-09,
Hay bale,Western region,2020-08,
Hay bale,Western region,2020-07,
Hay bale,Western region,2020-06,
Hay bale,Western region,2020-05,
Hay bale,Western region,2020-04,
Hay bale,Western region,2020-03,
Hay bale,Western region,2020-02,
Hay bale,Western region,2020-01,
Hay bale,Western region,2019-12,
Hay bale,Western region,2019-11,
Hay bale,Western region,2019-10,
Hay bale,Western region,2019-09,
Hay bale,Western region,2019-08,
Hay bale,Western region,2019-07,
Hay bale,Western region,2019-06,
Hay bale,Western region,2019-05,
Hay bale,Western region,2019-04,
Hay bale,Western region,2019-03,
Hay bale,Western region,2019-02,
Hay bale,Western region,2019-01,
Hay bale,Western region,2018-12,
Hay bale,Bayan-Ulgii,2025-12,18000.0
Hay bale,Bayan-Ulgii,2025-11,18667.0
Hay bale,Bayan-Ulgii,2025-10,
Hay bale,Bayan-Ulgii,2025-09,17667.0
Hay bale,Bayan-Ulgii,2025-08,12833.0
Hay bale,Bayan-Ulgii,2025-07,10667.0
Hay bale,Bayan-Ulgii,2025-06,11000.0
Hay bale,Bayan-Ulgii,2025-05,12750.0
Hay bale,Bayan-Ulgii,2025-04,17833.0
Hay bale,Bayan-Ulgii,2025-03,14250.0
Hay bale,Bayan-Ulgii,2025-02,14875.0
Hay bale,Bayan-Ulgii,2025-01,16000.0
Hay bale,Bayan-Ulgii,2024-12,16000.0
Hay bale,Bayan-Ulgii,2024-11,15000.0
Hay bale,Bayan-Ulgii,2024-10,12500.0
Hay bale,Bayan-Ulgii,2024-09,10000.0
Hay bale,Bayan-Ulgii,2024-08,10000.0
Hay bale,Bayan-Ulgii,2024-07,10000.0
