id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилга ашиглагчийн нэр,Нийт давхарын тоо,ZIP бүс,Дүүрэг,Хороо,Хаягийн бүс,Архитектур төлөвлөлтийн даалгаврын дугаар,"Барилга, байгууламжийн нэр",Үйлчилгээ албан конторын давхарын тоо /бусад/,Барилгын ажлыг эхлэх/үргэлжлүүлэх зөвшөөрлийн дугаар,Гудамж,Барилгыг барьсан байгууллага,Ашиглалтад орсон он,Улсын комиссын актын дугаар,Орон сууцны давхарын тоо,Батлагдсан блокийн тоо,Гүйцэтгэлийн зураг хийсэн он,Өндрийн зөрүү уналттай эсэх,Барилгын дугаар,Барилгын зураг хийсэн он,Ерөнхий төлөвлөгөө хийсэн он,Барилгыг барьсан он
96292,ТБА161291766400001,,Polygon,106.808631,47.908175,Загвар зураг,"""Гангүүр"" ХХК",1,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,,,,,,,,,,,,,,,
96297,ТБА161655683200000,Оффисын барилга,Polygon,106.814145,47.904365,Загвар зураг,Монтегео ХХК,1,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,МЗХ2022/20-005,Оффисын барилга,,,,,,,,,,,,,,
96298,ТБА161331078400001,Үйлдвэрлэл,Polygon,106.799502,47.8872,Загвар зураг,Сэлбэ дулаан ХХК,9,16103,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-4 /16103/,,Үйлдвэрлэл,,,,,,,,,,,,,,
96303,ТБА161534723200000,Үйлчилгээ,Polygon,106.820534,47.909341,Загвар зураг,Тайёобридж интернэшнл ХХК,5,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,МЗХ2018/20-14,Үйлчилгээ,5,494/2019,,,,,,,,,,,,
96304,ТБА161341446400001,Үйлдвэрлэл,Polygon,106.81493,47.898743,Загвар зураг,Ү.Ганбаяр,5,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,Үйлдвэрлэл,,,,,,,,,,,,,,
96306,ТБА161296172800000,,Polygon,106.791077,47.907502,Загвар зураг,Нийслэлийн боловсролын газар,1,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,,,,,,,,,,,,,,,
96308,ТБА161368144000001,Эмнэлэг,Polygon,106.794865,47.907771,Загвар зураг,Наркологийн эмнэлэг,1,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,Эмнэлэг,,,,,,,,,,,,,,
96310,ТБА161582761600001,Үйлчилгээний барилга,Polygon,106.803263,47.90845,Загвар зураг,Хашманхан констракшн ХХК,2,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,ГБМЗХ2020/07-017,Үйлчилгээний барилга,,006/2021,,,,,,,,,,,,
96312,ТБА161264377600001,,Polygon,106.797195,47.902617,Загвар зураг,ХЦДС хичээлийн байр,2,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,,,,,,,,,,,,,,,
96315,ТБА161368144000002,Эмнэлэг,Polygon,106.795057,47.907576,Загвар зураг,Наркологийн эмнэлэг,1,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,Эмнэлэг,,,,,,,,,,,,,,
96318,ТБА161440979200000,"Ургамал хамгаалал, эрдэм шинжилгээний хүрээлэнгийн",Polygon,106.788643,47.898155,Загвар зураг,ХААИС Ургамал хамгааллын хүрээлэн,4,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,ТЗХ-17,"Ургамал хамгаалал, эрдэм шинжилгээний хүрээлэнгийн",,,,,,,,,,,,,,
96319,ТБА161221782400002,,Polygon,106.791978,47.90764,Загвар зураг,Ц.Долгорсүрэн,3,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,,,,,,,,,,,,,,,
